2024-02-01 09:02:877 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 09:02:750 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 09:02:337 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 09:02:351 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 09:02:260 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 09:02:680 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 09:02:906 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 09:02:190 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 18:02:349 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 18:02:48 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 18:02:603 INFO  HomePage :25 - verifying HomePage URL : https://www.virgingames.com/
2024-02-01 18:02:677 INFO  HomePage :31 - Get text from : [[ChromeDriver: chrome on windows (4e51e4e7a0c357f59c832681e5c350d0)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-02-01 18:02:598 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 18:02:785 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 18:02:982 INFO  HomePage :25 - verifying HomePage URL : https://www.virgingames.com/
2024-02-01 18:02:81 INFO  HomePage :31 - Get text from : [[ChromeDriver: chrome on windows (c2b570ff93898cbe78df00b2cc9da9ba)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-02-01 18:02:651 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 18:02:587 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 18:02:514 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 18:02:956 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 18:02:577 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 18:02:957 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 18:02:792 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 18:02:846 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 18:02:76 INFO  HomePage :31 - click on : [[ChromeDriver: chrome on windows (ad100295a9463f76a0cc8389fe0b78e3)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 18:02:77 INFO  HomePage :35 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (ad100295a9463f76a0cc8389fe0b78e3)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 18:02:120 INFO  HomePage :40 - verifying HomePage URL : https://www.virgingames.com/
2024-02-01 18:02:188 INFO  HomePage :46 - Get text from : [[ChromeDriver: chrome on windows (ad100295a9463f76a0cc8389fe0b78e3)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-02-01 18:02:772 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 18:02:954 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 18:02:230 INFO  HomePage :31 - click on : [[ChromeDriver: chrome on windows (253f91614d8deb6a5f7d06713643ec5a)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 18:02:231 INFO  HomePage :35 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (253f91614d8deb6a5f7d06713643ec5a)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 18:02:272 INFO  HomePage :40 - verifying HomePage URL : https://www.virgingames.com/
2024-02-01 18:02:314 INFO  HomePage :46 - Get text from : [[ChromeDriver: chrome on windows (253f91614d8deb6a5f7d06713643ec5a)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-02-01 20:02:813 INFO  ManageBrowser :31 - launching chrome browser
